SCHOOL CODE,DESIGN #,school name
000487,2171B8395,MACON ROAD BAPTIST SCHOOL 
000487,2171B8396,MACON ROAD BAPTIST SCHOOL 
000487,2171B8397,MACON ROAD BAPTIST SCHOOL 
000487,2171B8764,MACON ROAD BAPTIST SCHOOL 
000487,2171B8765,MACON ROAD BAPTIST SCHOOL 
000487,2171B8766,MACON ROAD BAPTIST SCHOOL 
000487,2171B8801,MACON ROAD BAPTIST SCHOOL 
000487,2171B8999,MACON ROAD BAPTIST SCHOOL 
000487,2171B9000,MACON ROAD BAPTIST SCHOOL 
000487,2171B9001,MACON ROAD BAPTIST SCHOOL 
000487,2171B9002,MACON ROAD BAPTIST SCHOOL 
000487,2171B9003,MACON ROAD BAPTIST SCHOOL 
000487,2171B9004,MACON ROAD BAPTIST SCHOOL 
000487,E487A1,MACON ROAD BAPTIST SCHOOL  - TN-487
000487,E487A2,MACON ROAD BAPTIST SCHOOL  - TN-487
000487,E487A3,MACON ROAD BAPTIST SCHOOL  - TN-487
000487,E-487B1,MACON ROAD BAPTIST SCHOOL 
000489,2171B1440,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B1441,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3233,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3237,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3238,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3243,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3255,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3262,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3392,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3415,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3514,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3515,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3687,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3688,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3698,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B3699,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B7943,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B7944,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B7945,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B7946,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B7947,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B7948,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B7949,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B7950,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B8745,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B8746,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B8747,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B8748,EVANGELICAL CHRISTIAN SCHOOL 
000489,2171B8749,EVANGELICAL CHRISTIAN SCHOOL 
000489,E489A1,EVANGELICAL CHRISTIAN SCHOOL  - TN-489
000489,E489A2,EVANGELICAL CHRISTIAN SCHOOL  - TN-489
000489,E489A3,EVANGELICAL CHRISTIAN SCHOOL  - TN-489
000489,MISSING,EVANGELICAL CHRISTIAN SCHOOL  - TN-489
000489,S 489,EVANGELICAL CHRISTIAN SCHOOL 
000496,E496A1,PORTER CHRISTIAN ACADEMY  - TX-496
000497,P497,NONE
000498,P498,NONE
000505,ELM,ROSARY SCHOOL  - OK-505
000505,LM505,ROSARY SCHOOL  - OK-505
000506,2171B3842,CHRIST THE KING 
000506,2171B3843,CHRIST THE KING 
000506,2171B3847,CHRIST THE KING 
000506,E506A1,CHRIST THE KING  - OK-506
000506,E506A2,CHRIST THE KING  - OK-506
000506,MISSING,CHRIST THE KING  - OK-506
000511,P511,NONE
000511,PO,NONE
000518,2171B1187,ST. JUDE SCHOOL-WICHITA 
000518,2171B1188,ST. JUDE SCHOOL-WICHITA 
000518,2171B1189,ST. JUDE SCHOOL-WICHITA 
000529,000000,Discontinued Account - TX-000000
000529,PO,NONE
000540,P540,NONE
000545,2171B1498,KAPAUN-MT. CARMEL HS-WICHITA 
000545,2171B1730,KAPAUN-MT. CARMEL HS-WICHITA 
000545,2171B1731,KAPAUN-MT. CARMEL HS-WICHITA 
000557,E557A1,ST. CHRISTOPHERS SCHOOL  - TX-557
000557,E-557A1,ST. CHRISTOPHERS SCHOOL 
000559,000000,MISSING
000600,000000,Oratory Academy
000600,000000,ORATORY ACADEMY  - TX-600
